cpu_pct,disk_data_used_pct,disk_root_used_pct,gpu0_mem_total_gib,gpu0_mem_used_gib,gpu0_power_limit_w,gpu0_power_w,gpu0_temp_c,gpu0_util_gpu_pct,gpu0_util_mem_pct,gpu1_mem_total_gib,gpu1_mem_used_gib,gpu1_power_limit_w,gpu1_power_w,gpu1_temp_c,gpu1_util_gpu_pct,gpu1_util_mem_pct,gpu2_mem_total_gib,gpu2_mem_used_gib,gpu2_power_limit_w,gpu2_power_w,gpu2_temp_c,gpu2_util_gpu_pct,gpu2_util_mem_pct,gpu3_mem_total_gib,gpu3_mem_used_gib,gpu3_power_limit_w,gpu3_power_w,gpu3_temp_c,gpu3_util_gpu_pct,gpu3_util_mem_pct,iso,load1,ram_available_gib,ram_total_gib,ram_used_gib,train_pid_alive,ts
11.1,3.09,1.27,95.577,86.636,500.0,393.3,45,100,50,95.577,91.931,500.0,396.1,45,100,50,95.577,92.025,500.0,406.9,44,100,46,95.577,92.025,500.0,415.2,47,100,47,2026-09-11T19:39:59,10.68359375,1041.59,1239.42,197.82,,1789126799.7168489
11.0,3.09,1.27,95.577,86.638,500.0,402.1,45,100,59,95.577,91.933,500.0,402.4,44,100,59,95.577,92.025,500.0,377.5,43,100,51,95.577,92.025,500.0,379.0,46,100,51,2026-09-11T19:40:09,11.1875,1041.61,1239.42,197.8,,1789126809.7169282
10.0,3.09,1.27,95.577,86.638,500.0,393.9,45,100,59,95.577,91.933,500.0,394.6,44,100,59,95.577,92.027,500.0,120.2,37,0,0,95.577,92.027,500.0,123.0,40,0,0,2026-09-11T19:40:19,11.232421875,1041.61,1239.42,197.8,,1789126819.7170088
7.7,3.09,1.27,95.577,41.853,500.0,314.6,45,99,12,95.577,46.855,500.0,315.0,44,99,13,95.577,46.894,500.0,309.4,42,99,12,95.577,46.972,500.0,314.6,45,98,13,2026-09-11T19:40:29,10.73486328125,1041.53,1239.42,197.89,,1789126829.717092
7.6,3.09,1.27,95.577,44.372,500.0,316.1,45,98,15,95.577,49.472,500.0,317.4,44,99,13,95.577,49.472,500.0,308.3,42,99,13,95.577,49.452,500.0,317.2,45,99,12,2026-09-11T19:40:39,10.39404296875,1041.51,1239.42,197.9,,1789126839.7171803
6.4,3.09,1.27,95.577,52.302,500.0,297.1,44,100,12,95.577,57.812,500.0,290.9,43,99,16,95.577,57.128,500.0,290.1,42,99,15,95.577,57.187,500.0,301.0,45,99,14,2026-09-11T19:40:49,9.95166015625,1041.49,1239.42,197.93,,1789126849.717262
6.6,3.09,1.27,95.577,65.974,500.0,334.4,45,99,14,95.577,71.679,500.0,320.0,43,99,12,95.577,71.718,500.0,314.5,43,98,12,95.577,71.777,500.0,321.6,46,99,12,2026-09-11T19:40:59,9.6572265625,1041.44,1239.42,197.97,,1789126859.717348
5.5,3.09,1.27,95.577,68.064,500.0,329.6,45,100,13,95.577,72.89,500.0,319.6,43,100,9,95.577,72.441,500.0,311.9,42,100,11,95.577,72.46,500.0,317.6,45,100,11,2026-09-11T19:41:09,9.1748046875,1041.44,1239.42,197.97,,1789126869.7174299
6.5,3.09,1.27,95.577,68.066,500.0,326.1,45,100,9,95.577,72.89,500.0,314.8,43,99,16,95.577,72.519,500.0,316.7,43,100,10,95.577,72.499,500.0,322.2,46,100,9,2026-09-11T19:41:19,9.2216796875,1041.46,1239.42,197.96,,1789126879.7175128
7.8,3.09,1.27,95.577,86.73,500.0,410.2,45,100,42,95.577,92.025,500.0,411.3,44,100,42,95.577,92.052,500.0,403.9,43,100,42,95.577,92.052,500.0,411.1,45,100,42,2026-09-11T19:41:29,9.91455078125,1041.58,1239.42,197.84,,1789126889.7175982
9.5,3.09,1.27,95.577,86.73,500.0,418.4,46,100,51,95.577,92.025,500.0,416.0,45,100,51,95.577,92.052,500.0,413.4,44,100,51,95.577,92.052,500.0,421.1,47,100,51,2026-09-11T19:41:39,10.30322265625,1041.6,1239.42,197.81,,1789126899.717677
10.0,3.09,1.27,95.577,86.73,500.0,382.2,45,100,55,95.577,92.025,500.0,381.7,44,100,51,95.577,92.052,500.0,390.4,43,100,58,95.577,92.052,500.0,398.6,46,100,59,2026-09-11T19:41:49,10.64453125,1040.87,1239.42,198.54,,1789126909.717755
8.8,3.09,1.27,95.577,86.732,500.0,394.1,45,100,60,95.577,92.027,500.0,395.1,44,100,59,95.577,92.054,500.0,119.5,37,0,0,95.577,92.054,500.0,123.0,40,0,0,2026-09-11T19:41:59,10.92724609375,1041.61,1239.42,197.8,,1789126919.7178292
7.4,3.09,1.27,95.577,86.732,500.0,394.8,45,100,59,95.577,92.027,500.0,396.3,44,100,59,95.577,92.054,500.0,118.2,34,0,0,95.577,92.054,500.0,120.8,37,0,0,2026-09-11T19:42:09,10.4765625,1041.64,1239.42,197.77,,1789126929.7179
7.7,3.09,1.27,95.577,43.786,500.0,322.9,45,99,11,95.577,48.652,500.0,325.5,44,99,12,95.577,48.71,500.0,316.9,41,99,12,95.577,48.671,500.0,319.9,43,99,13,2026-09-11T19:42:19,10.1015625,1041.55,1239.42,197.86,,1789126939.7179759
7.6,3.09,1.27,95.577,46.267,500.0,323.0,45,99,12,95.577,51.21,500.0,324.7,44,99,13,95.577,51.191,500.0,314.2,42,99,12,95.577,51.191,500.0,324.9,45,99,13,2026-09-11T19:42:29,9.85791015625,1041.55,1239.42,197.87,,1789126949.71805
7.6,3.09,1.27,95.577,61.989,500.0,297.2,44,92,12,95.577,66.152,500.0,302.3,42,50,41,95.577,66.132,500.0,298.3,40,96,63,95.577,66.132,500.0,301.9,44,52,10,2026-09-11T19:42:39,9.57177734375,1041.48,1239.42,197.93,,1789126959.718122
7.5,3.09,1.27,95.577,65.273,500.0,326.7,45,99,16,95.577,66.152,500.0,318.1,44,100,17,95.577,66.132,500.0,317.1,42,100,11,95.577,66.132,500.0,321.7,45,99,18,2026-09-11T19:42:49,9.32958984375,1040.75,1239.42,198.67,,1789126969.7181962
7.6,3.09,1.27,95.577,66.445,500.0,328.9,45,100,11,95.577,66.152,500.0,314.0,44,99,12,95.577,66.132,500.0,312.4,43,99,18,95.577,66.132,500.0,324.0,45,100,11,2026-09-11T19:42:59,9.2783203125,1040.75,1239.42,198.67,,1789126979.718282
8.4,3.09,1.27,95.577,86.655,500.0,410.3,45,100,42,95.577,91.95,500.0,410.4,44,100,42,95.577,91.931,500.0,405.4,43,100,42,95.577,91.931,500.0,411.5,46,100,42,2026-09-11T19:43:09,9.40234375,1040.84,1239.42,198.58,,1789126989.7183623
9.4,3.09,1.27,95.577,86.655,500.0,429.6,47,100,53,95.577,91.95,500.0,432.6,46,100,53,95.577,91.931,500.0,414.0,44,100,52,95.577,91.931,500.0,423.0,47,100,51,2026-09-11T19:43:19,9.8955078125,1040.84,1239.42,198.58,,1789126999.7184346
9.6,3.09,1.27,95.577,86.655,500.0,394.0,46,100,59,95.577,91.95,500.0,392.8,45,100,59,95.577,91.931,500.0,387.1,43,100,58,95.577,91.931,500.0,393.0,46,100,58,2026-09-11T19:43:29,10.14599609375,1040.82,1239.42,198.6,,1789127009.71851
8.5,3.09,1.27,95.577,37.712,500.0,328.2,46,99,13,95.577,43.027,500.0,334.1,45,99,13,95.577,43.027,500.0,327.8,43,99,13,95.577,43.027,500.0,330.2,46,99,14,2026-09-11T19:43:39,10.3515625,1040.77,1239.42,198.65,,1789127019.7185807
6.3,3.09,1.27,95.577,46.169,500.0,329.4,46,99,13,95.577,51.425,500.0,331.4,45,100,9,95.577,51.425,500.0,326.4,43,99,12,95.577,51.425,500.0,327.5,46,100,5,2026-09-11T19:43:49,9.98974609375,1040.75,1239.42,198.67,,1789127029.7186513
6.2,3.09,1.27,95.577,52.087,500.0,329.6,45,100,19,95.577,55.566,500.0,336.6,44,100,10,95.577,55.566,500.0,333.3,44,99,19,95.577,55.566,500.0,332.5,46,99,20,2026-09-11T19:43:59,9.52978515625,1040.79,1239.42,198.63,,1789127039.718724
6.5,3.09,1.27,95.577,65.427,500.0,330.2,46,100,10,95.577,66.366,500.0,330.2,44,99,19,95.577,66.366,500.0,326.6,43,100,15,95.577,66.366,500.0,330.5,46,99,10,2026-09-11T19:44:09,9.29443359375,1040.74,1239.42,198.67,,1789127049.7187996
6.1,3.09,1.27,95.577,65.427,500.0,331.7,45,98,22,95.577,66.366,500.0,328.6,44,100,9,95.577,66.366,500.0,325.7,43,99,16,95.577,66.366,500.0,333.0,46,100,18,2026-09-11T19:44:19,9.1748046875,1040.76,1239.42,198.66,,1789127059.7188737
8.4,3.09,1.27,95.577,86.751,500.0,220.9,43,100,34,95.577,92.046,500.0,228.8,43,100,41,95.577,91.968,500.0,236.4,41,100,40,95.577,91.968,500.0,249.8,44,100,40,2026-09-11T19:44:29,9.38818359375,1040.85,1239.42,198.57,,1789127069.7189484
11.1,3.09,1.27,95.577,86.751,500.0,431.2,47,100,53,95.577,92.046,500.0,431.4,46,100,53,95.577,91.968,500.0,430.9,45,100,53,95.577,91.968,500.0,438.5,47,100,52,2026-09-11T19:44:39,10.02392578125,1041.55,1239.42,197.86,,1789127079.71902
