global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3,t_values
1,2026-09-11T10:57:34,0,,0.0,0.0078125,,,-2.5898683816194534e-05,1e-06,0.27257605642080307,0.3618037700653076,-2.369405345348241e-05,0.0,,,-0.359375,0.9331932326024445,1.0,-1.0,-0.023377684876322746,,-2.474870204925537,2.474870204925537,16,8.0,16,1,6,9,7,0.0625,0.375,0.5625,0.4375,9,0.5625,0.49505032227513446,,,,,,1578.34375,,,5797.0,,,221236.0,479.24507529169875,36.34909654036164,8.890714764595032,26.867790691554546,0.11446579545736313,,29.84991567581892,4.485729742795229,,115.40859333053231,31.5,,30.98,25.86,3.89,7.77,1.0,1,0.0,0.0,1.0,0.9994393587112427,0.0030079956632107496,0.31732189655303955,0.0004049385606776923,47.95024871826172,60.232421875,0.6402137202236793,0.00015669520689698402,,,,-0.023377684876322746,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
2,2026-09-11T10:57:34,0,,0.0,0.0078125,,,4.468485713005066e-06,1e-06,0.3138777017593384,0.328738808631897,1.876181181614811e-05,0.0,,,-0.125,0.9921567416492215,1.0,-1.0,-0.024035979062318802,,-2.474870204925537,1.6201833486557007,16,8.0,16,0,4,12,4,0.0,0.25,0.75,0.25,12,0.75,0.6175476593828628,,,,,,1766.1796875,,,8092.0,,,246407.0,599.9986427701347,46.362733751535416,9.17448154091835,9.00199692696333,0.15406730026006699,,33.57309836521745,4.375684555619955,,102.66981557756662,45.16,,17.7,32.7,4.26,0.18,2.0,2,0.0,0.0,1.0,0.9995619654655457,0.0028302930295467377,0.12289005517959595,0.00029697391437366605,51.29135799407959,64.00390625,0.6454155610717578,0.0003205471748515265,,,,-0.024035979062318802,1.6201833486557007,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
3,2026-09-11T10:57:34,0,,0.0,0.0078125,,,-2.2368738427758217e-05,1e-06,0.3001158833503723,0.43874919414520264,7.0095565178895924e-06,0.0,,,-0.453125,0.8914469890997445,1.0,-1.0,0.011329077184200287,,-2.474870204925537,2.474870204925537,16,8.0,16,0,7,9,7,0.0,0.4375,0.5625,0.4375,9,0.5625,0.47433422731717106,,,,,,1879.40625,,,7087.0,,,263316.0,639.3279410712618,44.40182035788894,9.617465358227491,9.516141697764397,0.12188724055886269,,34.852048475295305,4.4339481219649315,,102.96593621373177,43.12,,18.58,33.85,4.31,0.14,3.0,3,0.0,0.0,1.0,0.9996148943901062,0.0032051776070147753,0.4058098793029785,0.00037784111918881536,51.29553270339966,64.060546875,0.6602446198576537,0.00038342255902534816,,,,0.011329077184200287,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
4,2026-09-11T10:57:34,0,,0.0,0.0078125,,,-6.419606506824493e-06,1e-06,0.3232573941349983,0.29834243655204773,2.241205419295511e-05,0.0,,,-0.28125,0.9596345332990055,1.0,-1.0,-0.02825942076742649,,-2.474870204925537,2.474870204925537,16,8.0,16,0,3,13,3,0.0,0.1875,0.8125,0.1875,13,0.8125,0.6948006792890827,,,,,,1562.5390625,,,5019.0,,,219469.0,676.0209331641538,32.34616959095001,7.969067297875881,7.723081581294537,0.11157161369919777,,28.777643281966448,4.213471982628107,,81.16205772385001,39.85,,19.33,35.46,5.19,0.16,4.0,4,0.0,0.0,1.0,0.999611496925354,0.002765129553154111,0.14974021911621094,0.000295542849926278,51.29553270339966,64.060546875,0.659872352592769,0.0003500618131511146,,,,-0.02825942076742649,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
5,2026-09-11T10:57:34,0,,0.0,0.0234375,,,-3.831833600997925e-05,1e-06,0.2939658910036087,0.2537659704685211,-1.4010068980496726e-05,0.0,,,-0.15625,0.9877175393299442,1.0,-1.0,-0.006534154061228037,,-2.474870204925537,2.474870204925537,16,8.0,16,0,4,12,4,0.0,0.25,0.75,0.25,12,0.75,0.5600028189251105,,,,,,1699.2421875,,,8192.0,,,236487.0,592.0632602964974,46.36061515286565,8.657860863953829,8.49116200208664,0.12580958381295204,,31.730163596570492,4.46959662437439,,99.85715034976602,46.43,,17.17,31.78,4.48,0.15,5.0,5,0.0,0.0,1.0,0.9995601177215576,0.0020355284214019775,0.2309541404247284,0.00020846039114985615,51.29553270339966,64.060546875,0.6553985771645787,0.00038604973087785766,,,,-0.006534154061228037,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
6,2026-09-11T10:57:34,0,,0.0,0.0078125,,,-3.749644383788109e-05,1e-06,0.2703757584095001,0.277549684047699,-5.3005516065240954e-05,0.0,,,0.125,0.9921567416492215,1.0,-1.0,0.02202235534787178,,-2.474870204925537,2.474870204925537,16,8.0,16,3,2,11,5,0.1875,0.125,0.6875,0.3125,11,0.6875,0.5801678961732807,,,,,,1454.6875,,,6205.0,,,203400.0,618.0766794899174,36.351540952920914,7.391982562839985,7.238168854266405,0.11729095503687859,,26.936474196612835,4.212102096527815,,82.27134542912245,44.18,,17.78,32.74,5.12,0.17,6.0,6,0.0,0.0,1.0,0.9995322227478027,0.0027302391827106476,0.3186221718788147,0.0003789242182392627,51.29553270339966,64.060546875,0.6535122107814536,0.0006162412246339954,,,,0.02202235534787178,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
7,2026-09-11T10:57:34,0,,0.0,0.0078125,,,1.4469493180513382e-05,1e-06,0.26745806634426117,0.3398197591304779,1.7296298409519295e-05,0.0,,,-0.0625,0.998044963916957,1.0,-1.0,-0.010179039090871811,,-2.474870204925537,2.474870204925537,16,8.0,16,3,4,9,7,0.1875,0.25,0.5625,0.4375,9,0.5625,0.4910902212493325,,,,,,1686.8671875,,,5995.0,,,238007.0,648.0586115335043,38.35101280361414,8.660802491009235,8.484212681651115,0.10989725217223167,,31.563385855406523,4.623417936265469,,91.81538357958198,41.77,,18.67,34.38,5.04,0.14,7.0,7,0.0,0.0,1.0,0.9995823502540588,0.002977002877742052,0.3587213158607483,0.00038317241705954075,51.29553270339966,64.060546875,0.6561644388351805,0.0013862714149581734,,,,-0.010179039090871811,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
8,2026-09-11T10:57:34,0,,0.0,0.0078125,,,-6.672926247119904e-07,1e-06,0.20518256723880768,0.25567910075187683,2.8191903282959174e-05,0.0,,,-0.125,0.9921567416492215,1.0,-1.0,-0.01428704708814621,,-2.474870204925537,2.474870204925537,16,8.0,16,4,5,7,9,0.25,0.3125,0.4375,0.5625,7,0.4375,0.3596922747961528,,,,,,1646.71875,,,6272.0,,,230564.0,627.7206983695612,40.398606926202774,8.42722898349166,8.187903687357903,0.12329389527440071,,30.291284080594778,4.374628979712725,,91.82587120309472,43.99,,18.09,32.99,4.76,0.16,8.0,8,0.0,0.0,1.0,0.9996005892753601,0.0024509683717042208,0.19000917673110962,0.00030964077450335026,51.29553270339966,64.060546875,0.6611660339990455,0.0011508328097988851,,,,-0.01428704708814621,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
9,2026-09-11T10:57:34,0,,0.0,0.0078125,,,2.9635615646839142e-05,1e-06,0.27455244958400726,0.34807682037353516,-1.1764546115955454e-05,0.0,,,-0.140625,0.9900629320275555,1.0,-1.0,-0.04066120460629463,,-2.474870204925537,2.474870204925537,16,8.0,16,2,5,9,7,0.125,0.3125,0.5625,0.4375,9,0.5625,0.4615566732212441,,,,,,1583.9140625,,,5911.0,,,225901.0,636.0431660204015,38.35667223855853,8.210108827799559,8.029588997364044,0.11564989760518074,,29.766290422528982,4.290537767112255,,88.79153651371598,43.2,,18.29,33.52,4.83,0.16,9.0,9,0.0,0.0,1.0,0.9995249509811401,0.002945347223430872,0.18462997674942017,0.00030358583899214864,51.29553270339966,64.060546875,0.6584481408527578,0.001748852911987342,,,,-0.04066120460629463,2.474870204925537,-2.474870204925537,,,,,87.306,92.45,92.292,92.292,
10,2026-09-11T10:57:34,0,0.46,0.0,0.0078125,,78.74116441980004,3.456464037299156e-05,1e-06,0.1639334186911583,0.30070775747299194,-1.9672261714731576e-05,0.0,,,-0.203125,0.9791528146183311,1.0,-1.0,0.019946018233895302,,-1.6201833486557007,2.474870204925537,16,8.0,16,4,6,6,10,0.25,0.375,0.375,0.625,6,0.375,0.2991769100116619,,,,,,2213.359375,,,5800.0,,,304838.0,710.5909585770586,40.34968816116452,11.011632796376944,10.853760343044996,0.11864540353417397,,40.297325640916824,4.593265201896429,,107.24805752187967,37.62,,20.39,37.57,4.28,0.13,10.0,10,0.0,0.0,1.0,0.9994007349014282,0.002587525174021721,0.182819664478302,0.0003140656917821616,51.68193960189819,65.46875,0.6637072246448432,0.0010973827775160316,,,,0.019946018233895302,2.474870204925537,-1.6201833486557007,,,,,87.306,92.45,92.292,92.292,
